City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,bethel,60.79,-161.76,24.8,85,1,17.22,US,1572758740
210,katra,32.99,74.93,71.6,88,75,4.7,IN,1572758965
211,lavrentiya,65.58,-170.99,23.27,82,93,3.11,RU,1572758697
212,henties bay,-22.12,14.28,64.99,81,9,1.01,NA,1572758776
213,bubaque,11.28,-15.83,83.17,66,100,2.26,GW,1572758698
214,vardo,39.62,-77.74,41.0,77,1,3.36,US,1572758727
215,saint-francois,46.42,3.91,55.4,71,100,8.05,FR,1572758762
216,saint-denis,48.94,2.36,52.0,93,90,9.17,FR,1572758966
217,franco da rocha,-23.33,-46.72,72.0,94,75,1.12,BR,1572758967
218,pinega,64.7,43.39,20.14,72,88,12.97,RU,1572758967
219,afua,5.27,7.87,74.26,91,93,1.03,NG,1572758968
220,porto novo,-23.68,-45.44,68.0,88,60,2.24,BR,1572758968
221,le port,42.87,1.37,57.0,63,71,5.99,FR,1572758785
222,nachingwea,-10.37,38.76,83.71,55,77,3.62,TZ,1572758968
223,hirado,33.32,129.49,70.0,72,99,2.24,JP,1572758969
224,ouadda,8.07,22.4,73.29,61,85,2.51,CF,1572758969
225,ponta do sol,-20.63,-46.0,64.76,93,51,4.23,BR,1572758679
226,giyani,-23.32,30.73,86.2,37,7,1.61,ZA,1572758969
227,karratha,-20.74,116.85,78.51,56,0,12.37,AU,1572758737
228,flinders,-34.58,150.85,80.01,50,75,24.16,AU,1572758748
229,homer,59.64,-151.54,42.8,93,90,4.7,US,1572758970
230,inhambane,-23.87,35.38,77.0,78,20,6.93,MZ,1572758970
231,scarborough,54.28,-0.41,46.0,100,54,6.93,GB,1572758970
232,kifri,34.69,44.96,75.0,34,43,4.94,IQ,1572758971
233,leesburg,39.12,-77.56,42.8,68,1,3.36,US,1572758971
234,bambous virieux,-20.34,57.76,75.0,83,75,17.22,MU,1572758708
235,tiksi,71.64,128.87,-1.86,94,100,3.4,RU,1572758695
236,eregli,37.51,34.05,48.49,35,0,1.86,TR,1572758972
237,palmer,-34.85,139.16,68.0,51,75,17.22,AU,1572758709
238,shelburne,44.08,-80.2,37.99,93,40,6.93,CA,1572758688
239,sao filipe,14.9,-24.5,76.41,76,0,13.11,CV,1572758766
240,fez,34.03,-5.02,66.2,68,75,11.41,MA,1572758973
241,belyy yar,53.6,91.39,32.0,42,25,13.42,RU,1572758973
242,manzhouli,49.6,117.43,35.24,27,0,8.95,CN,1572758973
243,bandarbeyla,9.49,50.81,81.3,77,100,11.97,SO,1572758974
244,methoni,36.82,21.7,61.0,76,20,5.82,GR,1572758974
245,kijang,35.24,129.21,69.8,46,98,5.82,KR,1572758745
246,cutro,39.04,16.98,57.2,93,53,3.36,IT,1572758974
247,padang,-0.92,100.36,80.42,65,42,5.21,ID,1572758975
248,aitape,-3.15,142.36,83.7,73,98,9.06,PG,1572758975
249,verkhnevilyuysk,63.45,120.31,29.32,78,71,9.31,RU,1572758975
250,kulhudhuffushi,6.62,73.07,82.69,66,64,3.69,MV,1572758975
251,namibe,-15.19,12.15,71.76,78,65,1.39,AO,1572758690
252,chuy,-33.69,-53.46,55.31,85,69,7.49,UY,1572758739
253,kahului,20.89,-156.47,73.99,1,34,4.0,US,1572758743
254,batagay-alyta,67.8,130.41,-9.8,99,100,6.85,RU,1572758976
255,ko samui,9.54,99.94,87.8,70,20,5.82,TH,1572758712
256,aleksandrov gay,50.14,48.57,30.15,43,0,4.34,RU,1572758977
257,linxia,35.6,103.21,51.82,24,0,6.26,CN,1572758977
258,solnechnyy,50.72,136.64,29.73,65,99,3.58,RU,1572758802
259,areosa,41.72,-8.86,61.0,82,75,8.05,PT,1572758977
260,birjand,32.86,59.22,62.6,25,0,9.17,IR,1572758718
261,kaeo,-35.1,173.78,77.0,53,78,1.99,NZ,1572758978
262,tuktoyaktuk,69.44,-133.03,24.8,92,90,7.36,CA,1572758546
263,atambua,-9.11,124.89,86.61,52,3,7.67,ID,1572758721
264,castro,-42.48,-73.76,46.4,100,90,10.29,CL,1572758679
265,hovd,63.83,10.7,33.01,92,90,8.05,NO,1572758979
266,waingapu,-9.65,120.26,82.51,73,0,10.22,ID,1572758979
267,husavik,50.56,-96.99,30.99,91,92,6.96,CA,1572758747
268,port hueneme,34.15,-119.2,61.0,76,1,6.93,US,1572758864
269,novosil,52.97,37.04,34.56,70,60,20.22,RU,1572758980
270,garissa,-0.46,39.64,82.51,57,51,17.34,KE,1572758980
271,san isidro,10.02,-84.06,70.0,83,78,8.05,CR,1572758980
272,mets masrik,40.22,45.77,29.1,59,0,0.81,AM,1572758981
273,ca mau,9.18,105.15,83.84,81,88,4.23,VN,1572758981
